text,account_age,posting_frequency,label,split,source
Alert: $100 is being transferred from your account. Send us the code to cancel this transaction immediately.,25,6.81,1,test,real
Ang relaxing ng araw na to. Walang ginawa kundi mag-chill sa bahay.,1344,1.34,0,train,real
Nag-bike ride kami ni Jhay sa Megamall. Ang saya!,2708,0.57,0,train,real
RCBC notice: Your account needs verification. Please verify your login and OTP using the page sent in this message before your access is restricted.,40,23.13,1,train,real
"Sundar Pichai announced an updated data center plan is rolling out next month. No press conference, just a short post — sparking plenty of speculation online.",2203,1.86,0,test,synthetic_emoji_giveaway_fix
"Traffic build-up reported along Aquino Bridge due to ongoing repair work, according to @NASAJohnson. Motorists advised to expect delays. https://philstar.com/6630",904,4.66,0,train,synthetic_bias_fix
"Random thought! naabutan ako ng traffic pauwi, then naglaan ako ng time para magpahinga. Back to reality tomorrow haha.",2827,1.05,0,val,real
Ang lamig ng hangin ngayon! Perfect weather for hot choco ☕,2952,1.92,0,test,real
"Mga lods, nag-lunch kami ng family. Needed that break today. Walang grand plan, enjoy lang muna.",2761,0.87,0,train,real
"After a busy day, biglang lumamig yung weather. Tomorrow ulit. Sulit naman kahit pagod.",2067,0.92,0,train,real
Sharing the highlights from last week's Sunday Service. Come and join us every Sunday at San Pedro at 9:30 AM.,2787,1.7,0,train,real
"P1000 cash grant galing sa DOLE AKAP, click this link para makuha ang ayuda: bit.ly/claim-now",10,21.76,1,train,real
"Pag-IBIG salary loan schedule released na daw, check niyo na lang sa member portal, hindi sa Messenger. Take care everyone.",237,11.61,0,val,synthetic_supplement
Grand Opening Promo! Visit our new coffee shop at Calamba and get 20% off on all drinks.,1790,0.29,0,val,real
🌋 VOLCANO ALERT: PHIVOLCS raises Alert Level 3 over Taal Volcano following recorded pyroclastic flow. Residents within the danger zone in Sorsogon are advised to evacuate immediately. https://pagasa.dost.gov.ph/8328,1176,13.49,0,train,synthetic_hazard_fix
Congratulations! You won a free branded bag from our raffle! Claim it here: bit.ly/earn9832. Pay ₱250 shipping only.,31,13.59,1,val,real
SSS payout is ready! I-claim ang P1000 dito sa link na ito: gcash-rewards-ph.net,9,16.24,1,train,real
Don't miss the acoustic night this Friday! Live band starting at 8PM in Villa Esmeralda.,930,0.46,0,train,real
"🤑🥳 FREE ₱2,500 LOAD PROMO! 👉 Sagot mo lang itong 3 tanong dito claim-giveaway.top ✅ at makukuha mo agad!",59,18.88,1,train,synthetic_emoji_giveaway_fix
"Hi, I need the UnionBank verification code sent to this number. It's for my account ending in 5288. Thank you!",19,10.31,1,train,real
"Screenshot ng payout ko — ₱20,000! Hindi fake to. Gusto mo rin? DM me: cutt.ly/7993.",10,13.59,1,train,real
SSS payout is ready! I-claim ang P500 dito sa link na ito: gcash-rewards-ph.net,52,17.56,1,train,real
"Libre ang puhunan, kita lang ang hanap! Join our investment community: link.ph/9420. Members earning ₱20,000 per week.",57,10.45,1,train,real
PNB notice: Your online banking access is expiring. Please complete the security form using the page sent in this message before your access is restricted.,28,23.53,1,val,real
"May bagong Shopee voucher! Mag-check out na ba ako o mag-tiis? Decisions, decisions.",668,2.14,0,train,real
"May kilala ako na legit na lender. ₱1,000,000 loan, ₱500 lang processing. Walang collateral, walang CI. PM lang.",21,13.78,1,train,real
"Your China Bank OTP is needed for a pending transaction of ₱500. If this is not you, verify at shorturl.at/6208.",37,12.89,1,train,real
RCBC notice: Your account needs verification. Please update your account information using the page sent in this message before your access is restricted.,18,13.75,1,train,real
"Selling my pre-loved bike, ₱2,500. Meet-up lang sa Cabuyao, no COD po sorry. Ingat lahat!",2061,2.76,0,train,synthetic_supplement
"Sis pasuyo naman, pa-receive ng P5000 sa GCash mo, may error kasi app ko ngayon.",39,6.63,1,train,real
Decluttering: Pre-loved items for sale! Prices range from P500 to P20000. DM for pics.,323,0.38,0,train,real
"J&T declined COD for your area. Kindly pay via Coins.ph — ₱2,000. Will ship same day.",7,18.07,1,train,real
"Bagong lending app — 0% interest for the first month! Loan up to ₱1,000,000. Download na: forms.gle/6953.",1709,21.46,1,test,real
"Guys, nakita ko itong government assistance offer opportunity and ang promise ay receive a crypto bonus instantly. click the link in the post. first come, first served.",11,5.07,1,train,real
Ang sarap ng ulam namin ngayon — sinigang! Best comfort food talaga.,1858,0.41,0,train,real
"APPROVED: Loan #4793 for ₱500,000. Pay ₱100 via Coins.ph to release. Reply YES to confirm.",51,1.73,1,train,real
"Traffic build-up reported along Marcos Highway overpass due to ongoing repair work, according to @ABSCBNNews. Motorists advised to expect delays. https://facebook.com/PAGASA/6347",2242,3.99,0,train,synthetic_bias_fix
Jeremiah 29:11 — For I know the plans I have for you. Claim it! 🙏,49,1.65,0,val,real
BIR Notice: Your tax refund of $50 is ready for processing. Claim it here: wa.me/1005.,17,27.8,1,train,real
China Bank: Verify acct or it will be closed. rebrand.ly/5008.,367,22.4,1,train,real
"Low-interest personal loan available! ₱500,000 limit. 1% monthly interest, walang fine print. Apply: forms.gle/1530.",80,13.3,1,train,real
Sharing the highlights from last week's Sunday Service. Come and join us every Sunday at San Pedro at 9:30 AM.,752,2.77,0,train,real
"🌊 Volcanic activity update: Mount Merapi shows increased seismic activity, according to BPPTKG. Communities in Sleman, Magelang, Boyolali, Klaten urged to stay alert. https://phivolcs.dost.gov.ph/6622",1867,11.3,0,val,synthetic_hazard_fix
"China Bank nag-send ng text verification sa number mo for a ₱15,000 fund transfer. Cancel ko sana, pa-send ng code.",72,19.86,1,train,real
"After a busy day, nag-set aside ako ng Sunday para magpahinga. Tomorrow ulit. At least productive ang araw.",1395,2.0,0,train,real
Today felt simple: ang daming deadline this week. Back to reality tomorrow haha.,2291,2.5,0,train,real
"Grabe ang dami scam ngayon, ingat kayo, wag niyo bigyan ng OTP kahit sino, kahit kilala niyo. Grabe talaga.",188,9.27,0,train,synthetic_supplement
"GrabPay: A cash-out request of ₱10,000 was made. If unauthorized, secure your account: bit.ly/earn5257.",22,17.05,1,train,real
PLDT Home is now open in Cebu City! Join us for the grand opening this weekend. https://abs-cbn.com/3925,2481,2.49,0,train,synthetic_bias_fix
"No credit history needed! Get ₱500,000 approved today. Simple requirements + ₱999 fee: tinyurl.com/free2860.",180,5.46,1,train,real
Happy 1st anniversary to our salon! Join us for free haircuts today at Cabuyao.,1035,2.84,0,train,real
"May Samsung Galaxy S24 ako for sale — ₱3,000. Meetup or ship, pero need deposit ₱200 muna para sure.",42,19.93,1,test,real
Sharing the highlights from last week's Sunday Service. Come and join us every Sunday at Calamba at 9:30 AM.,482,1.99,0,train,real
"GRABE ang bilis maubos nito kagabi! Sweet Treats PH Cassava Cake ulit today, order na bago maubos ‼️",2145,2.75,0,train,synthetic_emoji_giveaway_fix
"Kuya/Ate, nag-update ako ng contact info sa UnionBank. Kailangan yung code na na-send sa old number mo. Help naman!",15,23.28,1,train,real
Please join our school outreach program this Saturday. Volunteers will meet at Quezon City.,794,1.19,0,train,real
"Random update: nag-grocery ako pagkatapos ng work. Walang grand plan, enjoy lang muna.",2461,1.67,0,val,real
"Maraming nag-iinquire sa iPhone 15 Pro Max. If you're serious, deposit ₱100 now.",127,6.96,1,train,real
Watching Netflix all day. Perfect rest day! 🍿,134,4.71,0,val,real
"Flash sale: Samsung Galaxy S24 at ₱25,000 only! Regular price is triple. Grab yours: link.ph/8541.",30,10.6,1,train,real
"Quick heads-up, may work-from-home encoding daw na earn ₱3,000 to ₱8,000 daily. enter your account information; marami na raw kumikita dito.",57,7.82,1,train,real
"Today, bumalik ako sa gym. Ang simple ng araw pero okay lang. Simple things pero nakaka-good mood.",1820,0.49,0,train,real
Passport renewal fast-track service! Only $50. Skip the line. Message me for details.,326,10.02,1,test,real
"Clearance sale! PS5 — ₱20,000 na lang! Last 10 units. PM to order.",29,18.34,1,test,real
"Mga lods, paulit-ulit kong pinapakinggan yung bagong playlist. Needed that break today. Small progress is still progress.",2909,1.92,0,val,real
"Local officials in Cebu City confirmed that relief operations are underway for families affected by the recent flooding, per @iteamsitson. https://dpwh.gov.ph/5717",1052,9.52,0,val,synthetic_bias_fix
"Mga lods, paulit-ulit kong pinapakinggan yung bagong playlist. Needed that break today. Need ko talaga ng rest after that.",1597,2.55,0,test,real
"Random update: nakahanap ako ng tahimik na café. Walang grand plan, enjoy lang muna.",1850,0.41,0,train,real
Thankful for friends who became family. You know who you are!,482,19.98,0,train,real
"P500 cash grant galing sa SSS AKAP, click this link para makuha ang ayuda: bit.ly/claim-now",49,17.39,1,train,real
"Gusto mo kumita habang naka-phone lang? Like products and earn ₱1,000 daily. Proven: forms.gle/3839.",18,17.75,1,train,real
URGENT WEATHER BULLETIN: Heavy rainfall expected over Pampanga in the next 24 hours. Stay tuned to official channels for updates. https://abs-cbn.com/6231,2169,8.89,0,train,synthetic_bias_fix
PHIVOLCS Seismic Bulletin: aftershocks continue to be felt in Batangas following last night's earthquake. Residents advised to check structures for damage. https://ndrrmc.gov.ph/2365,2269,1.38,0,train,synthetic_hazard_fix
"Complete simple tasks and receive commissions immediately! ₱3,000 daily potential. Join: forms.gle/7861.",29,26.61,1,train,real
"Isang araw lang may $1,000 na ako. Kung gusto mo matuto, click mo to: rebrand.ly/6427. Legit yan promise!",33,16.91,1,val,real
"Mga lods, naglaro kami hanggang madaling-araw. Needed that break today. Need ko talaga ng rest after that.",2835,2.85,0,train,real
Nag-videocall kami ng buong family kagabi. Connection ang pinaka-importante.,2837,1.62,0,train,real
"After a busy day, nag-set aside ako ng Sunday para magpahinga. Tomorrow ulit. Sana mas relaxed ang next few days.",2186,2.78,0,val,real
Nag-karaoke kami sa bahay. Sino ang best singer? Syempre ako haha! 🎤,1684,17.05,0,train,real
Started taking vitamins regularly. Better late than never sa health.,1415,1.59,0,test,real
"Uy may bago akong nadiscover na lending app. ₱200,000 agad released sakin! Need mo lang mag-deposit ng ₱100. cutt.ly/5288.",45,29.51,1,train,real
Metrobank notice: Unusual activity was detected. Please confirm your mobile number using the page sent in this message before your access is restricted.,598,20.68,1,test,real
Walk-in interview for New Zealand jobs! content moderator — $50/month. Bring 2 valid IDs. Address: [meeting place].,363,8.47,1,train,real
We are hiring! Looking for a cashier for our store in San Pedro. Please bring your resume.,2648,2.0,0,train,real
GCash Support: We need to verify your account details to process your pending transaction of $200. Click: cutt.ly/7406.,1277,9.43,1,train,real
Random update: nag-grocery ako pagkatapos ng work. At least productive ang araw.,2184,0.73,0,test,real
Lods help — nag-send ng security code yung Maya sa old number ko. Paki-forward before it expires in 5 mins.,980,8.16,1,train,real
"Naka-loan na ako dyan ng ₱100,000. ₱999 lang binayad ko na processing fee tapos released agad. Totoo lods! wa.me/7006.",336,17.34,1,train,real
Your loan release was delayed due to a system upgrade. Pay the re-processing fee of ₱300 to expedite. wa.me/3995.,20,29.21,1,train,real
"P500 cash grant galing sa SSS AKAP, click this link para makuha ang ayuda: bit.ly/claim-now",43,12.1,1,train,real
"4Ps salary loan schedule released na daw, check niyo na lang sa member portal, hindi sa Messenger. Totoo ba kaya to?",10,16.59,0,train,synthetic_supplement
Kumusta na kayo dyan? Miss ko na yung dati naming tambayan sa Cabuyao. Ganun talaga.,2381,2.17,0,train,synthetic_supplement
This is China Bank IT Support. We need the OTP sent to your number to complete the security patch on your account.,116,3.52,1,train,real
We sent a verification code to your number. Please enter it at link.ph/9598 to confirm your PNB transaction.,51,14.23,1,val,real
Waiting for my Lazada delivery — sana dumating today! Track ko na lang.,47,1.53,0,train,real
I love you guys! Thank you for the continuous support and love.,399,0.35,0,val,real
"Grateful for another successful Blood Donation Drive with Cabuyao National High School, see you all again next time!
#CabuyaoNationalHighSchool #BloodDonationDrive #CommunityFirst",1161,3.01,0,val,synthetic_hashtag_fix
🌋 PHIVOLCS ADVISORY: Taal Volcano recorded ground deformation this morning (29/8/2026). Communities in Cavite within the permanent danger zone should remain vigilant. https://bpptkg.esdm.go.id/1298,1236,6.04,0,train,synthetic_hazard_fix
Celebrated my grandparent's anniversary. 50 years together — true love!,1008,1.49,0,train,real
Our AI trading bot earned our members ₱500 last week alone! Start investing: bit.ly/earn9116. Zero risk.,60,5.78,1,train,real
Sino gusto sumali sa basketball liga? Registration is at Makati barangay hall.,2067,1.01,0,train,real
Nag-surprise visit sa parents. Ang saya ng faces nila!,48,0.54,0,train,real
"Looking for people interested in part-time data entry? Sabi nila secure a high-paying slot, kahit beginner puwede. pay the activation fee first. tested na raw ng mga kakilala ko.",49,15.56,1,train,real
Today felt simple: naglinis ako ng garden. Worth it yung effort.,1410,1.96,0,train,real
PhilHealth payout is ready! I-claim ang P1000 dito sa link na ito: gcash-rewards-ph.net,13,24.92,1,train,real
"After a busy day, nagplano kami ng short trip. Tomorrow ulit. Sulit naman kahit pagod.",1215,2.48,0,train,real
"Crypto prices are interesting to watch, but I'm only reading about the market for now.",333,2.37,0,train,real
"⏰ Last 5 slots available for our exclusive investment program! ₱250 entry, ₱15,000 guaranteed: link.ph/6731.",27,25.79,1,train,real
I transferred part of my allowance to savings today. Maliit lang pero consistent is the goal.,2520,0.78,0,train,real
Sino gusto sumali sa basketball liga? Registration is at San Pedro barangay hall.,1928,1.96,0,train,real
You are invited to our annual barangay fiesta! See you all tomorrow at the Calamba covered court.,2014,0.68,0,train,real
Ang ganda ng exhibit sa Ortigas! Highly recommended for art lovers.,26,2.06,0,train,real
Maya sent a 6-digit code sa number mo for account recovery. Ito yung account ko. Pa-share naman ng code.,32,15.63,1,train,real
Went for a run sa MOA this morning. Ang refreshing!,549,17.95,0,train,real
Had my annual performance review — nag-exceed expectations! Bonus loading?,304,0.71,0,train,real
"Hiring ASAP! Factory worker in Taiwan, no placement fee! Message me for details.",26,6.72,1,train,real
We are hiring! Looking for a cashier for our store in Biñan. Please bring your resume.,564,1.98,0,train,real
"🚨 URGENT WARNING:
HOT CLOUD ASHFALL FROM Mount Merapi OCCURRED TONIGHT (29/8/2026)!
Hazard warning for all residents on the slopes of Mount Merapi (East Java)! The Japan Meteorological Agency recorded a lava flow event. https://phivolcs.dost.gov.ph/7294",2286,1.07,0,val,synthetic_hazard_fix
"Lods, legit to! Nag-earn ako ng ₱2,000 kahapon lang sa pag-like ng products. Try mo: wa.me/5536.",36,29.32,1,train,real
Cooked a healthy meal today — grilled fish and salad. Ang sarap pala!,324,1.2,0,train,real
"P10000 cash grant galing sa Pag-IBIG AKAP, click this link para makuha ang ayuda: bit.ly/claim-now",45,16.99,1,train,real
"Mga lods, kung kailangan niyo ng pera, I-try niyo to — ₱500,000 instant approval. ₱300 lang processing fee: bit.ly/earn1530.",49,13.63,1,train,real
Bought stocks for the first time today. Small amount lang pero excited pa rin. Long-term investment naman.,19,1.4,0,val,real
"J&T declined COD for your area. Kindly pay via ShopeePay — ₱5,000. Will ship same day.",38,6.8,1,test,real
"Boss, need ko lang yung PNB verification code na na-send sa number mo. Lumang account ko kasi yan. Asap!",29,6.41,1,test,real
"P2500 cash grant galing sa DOLE AKAP, click this link para makuha ang ayuda: bit.ly/claim-now",35,19.87,1,train,real
"ONHAND NA PO ANG Egg Pie! Sweet Treats PH 🙏 message lang po para sa order, deliver within the area lang po.",2712,0.38,0,val,synthetic_emoji_giveaway_fix
I started tracking daily expenses because I want to understand where my money goes.,1871,0.71,0,train,real
"Sis/Bro, pa-reserve na kayo. MacBook — ₱500. Marami nang nag-inquire. First come, first served!",34,1.75,1,train,real
"May bagong Shopee voucher! Mag-check out na ba ako o mag-tiis? Decisions, decisions.",2660,0.71,0,train,real
"P20000 cash grant galing sa DOLE AKAP, click this link para makuha ang ayuda: bit.ly/claim-now",24,17.54,1,test,real
May nag-cancel na order kaya extra stock kami ng gaming chair. $50 discounted price. PM asap.,21,2.0,1,test,real
"🚀 Solana is about to moon! Invest ₱250 now and get ₱50,000 returns. Proven strategy: forms.gle/7843.",4,22.29,1,test,real
"Congratulations to this year's Search for Outstanding Barangay awardees, recognized by the PAGASA Administrator in a ceremony this week. https://ndrrmc.gov.ph/3508",743,10.35,0,train,synthetic_bias_fix
"Hired! As a content moderator, you need to deposit ₱100 for your starter kit. This will be returned on your first payout.",52,10.79,1,test,real
"📩 Winner ka ba? 🔥 Check mo agad dito bit.ly/claim-prize 🥳 ₱20,000 ang premyo, konting slots na lang 👉",127,19.96,1,train,synthetic_emoji_giveaway_fix
May nakakaalam ba kung paano mag-apply ng tulong sa DSWD? Badly need it.,2656,1.53,0,train,real
Grand Opening Promo! Visit our new coffee shop at Makati and get 20% off on all drinks.,373,2.75,0,val,real
"Our AI trading bot earned our members ₱1,500 last week alone! Start investing: cutt.ly/9906. Zero risk.",19,19.06,1,test,real
"Ang galing ng Diyos — just when I thought I couldn't, He made a way.",33,0.75,0,train,real
Hindi lahat ng biyaya pera. Minsan ang pinakamalaking blessing ay peace of mind.,1843,2.18,0,train,real
RCBC notice: Your account may be temporarily locked. Please update your account information using the page sent in this message before your access is restricted.,76,2.57,1,test,real
"P2500 cash grant galing sa PhilHealth AKAP, click this link para makuha ang ayuda: bit.ly/claim-now",30,16.7,1,train,real
Finally set up my emergency fund — 6 months worth of expenses. Feels secure!,2553,2.12,0,train,real
"God is good all the time! Despite the challenges, He never leaves us.",103,4.83,0,train,real
"Salamat sa lahat ng dumalo sa despedida ni Ate kagabi, ang saya! Char lang.",2601,0.51,0,train,synthetic_supplement
Kumita ng P5000 araw-araw by just liking YouTube videos. Message me on WhatsApp to start!,7,29.99,1,train,real
Ang ganda ng praise and worship kanina. Na-touch talaga ako.,2695,2.1,0,train,real
"Bro, pautang muna P500 sa Coins.ph, na limit kasi account ko. Bayaran ko din bukas promise.",16,6.59,1,train,real
Cleaned my room today and it feels so satisfying. Productive Sunday!,2469,2.73,0,train,real
Bought a secondhand laptop using money I saved for months. Super happy with the purchase.,857,0.26,0,train,real
"Looking for people interested in data encoder? Sabi nila receive a large shopping voucher, kahit beginner puwede. send the required deposit.",39,15.72,1,train,real
"If you don't send the verification code in 5 minutes, your Maya account will be permanently deleted.",32,18.9,1,train,real
Ang sarap ng tulog ko kagabi. 8 hours solid! Feeling recharged.,21,0.83,0,val,real
"Need cash? We offer salary loans up to ₱50,000 with easy payment terms! No hidden fees. PM me to apply.",32,13.62,1,train,real
Na-lock yung ShopeePay ko! Nag-send sila ng code sa number mo kasi dati kong number yan. Pa-forward please.,19,12.32,1,test,real
"P5000 cash grant galing sa DOLE AKAP, click this link para makuha ang ayuda: bit.ly/claim-now",30,29.3,1,train,real
"Try namin bagong resto sa Cabuyao, ang sarap ng food nila, babalikan namin ulit.",981,0.79,0,train,synthetic_supplement
"Legit seller here! MacBook brand new for ₱5,000. DM to reserve. Can ship via LBC.",21,25.92,1,train,real
"Alert sa Maya account mo — may nag-try ng cash-out ng ₱2,000. I-report mo or i-verify: bit.ly/earn5870.",10,24.16,1,train,real
"After a busy day, nagplano kami ng short trip. Tomorrow ulit. Worth it yung effort.",2932,0.77,0,val,real
"Quick update, natapos ko rin yung report. Ang simple ng araw pero okay lang. Need ko talaga ng rest after that.",2701,1.03,0,train,real
"Grabe! busy yung small shop this morning, then naglaan ako ng time para magpahinga. Sana mas relaxed ang next few days.",1618,2.85,0,train,real
"Napa-post lang ako, natapos ko rin yung report. Ang simple ng araw pero okay lang. Nakakatuwa rin pala yung ganitong routine.",463,1.24,0,train,real
"After a busy day, biglang lumamig yung weather. Tomorrow ulit. Back to reality tomorrow haha.",1305,2.24,0,train,real
"Content creator wanted! Earn ₱50,000/month posting on social media. No followers needed. Apply: cutt.ly/9420.",79,15.0,1,test,real
URGENT WEATHER BULLETIN: Heavy rainfall expected over Pampanga in the next 24 hours. Stay tuned to official channels for updates. https://inquirer.net/7047,1173,19.27,0,val,synthetic_bias_fix
"Hiring kami ng video liker! ₱25,000 ang salary per month. Walang experience needed. Apply na: bit.ly/earn6953.",43,12.36,1,train,real
SSS payout is ready! I-claim ang P5000 dito sa link na ito: gcash-rewards-ph.net,52,18.68,1,train,real
Digital paluwagan — 100% payout guaranteed. Nasa slot 3 na kami. Pasok ka na! PM me or bit.ly/earn1543.,28,18.35,1,test,real
I'm from Maya verification team. We sent a code to this number for account #5288. Kindly provide it.,2,22.96,1,val,real
"Thank you to everyone who joined our Feeding Program last weekend, Barangay San Isidro truly appreciates the support!
#BarangaySanIsidro #FeedingProgram #CommunityFirst",2744,3.06,0,train,synthetic_hashtag_fix
"Board exam results are out next week. Lord, please! 🙏",1644,0.46,0,train,real
"Kuya, patulong naman i-split yung bill kanina, ₱₱200 na lang kulang ko, GCash na lang para mabilis.",102,12.0,0,test,synthetic_supplement
ROAD CLOSURE: the old town bridge is impassable due to landslide. Motorists are advised to take alternate routes. Details via @NASAJohnson: https://mmda.gov.ph/9040,1824,6.61,0,train,synthetic_bias_fix
DSWD payout is ready! I-claim ang P10000 dito sa link na ito: gcash-rewards-ph.net,29,26.33,1,train,real
COD order arrived today. Exactly as described — honest seller! 5 stars.,1291,1.95,0,train,real
Your GCash account is under review. Submit verification documents here: tinyurl.com/free5036 or your balance will be frozen.,8,13.87,1,train,real
Blocked na yung China Bank card mo dahil sa suspicious activity. Unblock dito: link.ph/2929. Asap ha!,21,25.73,1,val,real
"His grace is sufficient. Whatever you're going through, trust the process. 🙏",26,2.23,0,train,real
Clearance sale! laptop — $50 na lang! Last 20 units. PM to order.,13,19.86,1,train,real
"Bro, pautang muna P10000 sa Maya, na limit kasi account ko. Bayaran ko din bukas promise.",52,8.11,1,val,real
"Grabe, nag-send ng alert yung UnionBank na may nag-try mag-login. Naka-link pa yung old number ko sayo. Pa-forward ng code please.",43,2.85,1,train,real
"Uy may bago akong nadiscover na lending app. ₱500,000 agad released sakin! Need mo lang mag-deposit ng ₱999. cutt.ly/7051.",57,18.12,1,train,real
"Looking for people interested in content moderator? Sabi nila turn ₱500 into a bigger payout, kahit beginner puwede. submit the online form.",1194,9.83,1,test,real
"Try namin bagong resto sa Biñan, ang sarap ng food nila, babalikan namin ulit. Ingat lahat!",188,8.96,0,train,synthetic_supplement
Random update: sobrang kulit ng aso namin. Simple things pero nakaka-good mood.,2088,1.22,0,train,real
Pre-order na! Samsung Galaxy S24 arriving in tatlong araw. Slot payment: ₱100. Balance upon arrival.,36,28.0,1,train,real
"Simple online tasks = big money! ₱2,000/day, no boss, no schedule. Join our team: wa.me/3404.",10,25.21,1,train,real
"Good news! If you want crypto airdrop, they claim you can get paid for simple tasks. message me ASAP and don't miss it. sayang kung ma-late ka.",45,26.95,1,val,real
"P500 cash grant galing sa Pag-IBIG AKAP, click this link para makuha ang ayuda: bit.ly/claim-now",52,9.59,1,val,real
Nag-order ng birthday cake online. Ang ganda ng reviews so excited na ako!,1400,1.5,0,test,real
Sino gusto mag kape? Tara Mang Inasal tayo! ☕,217,2.43,0,test,real
Na-reach ko na yung savings goal ko for this quarter! Treat yourself naman konti.,141,2.66,0,test,real
"Dear valued PNB customer, your account requires immediate attention. Please log in at shorturl.at/6751 to review recent activity.",32,24.03,1,test,real
"Naghahanap ka ba ng extra income? ₱3,000 per day lang sa pag-complete ng online tasks. Walang capital: forms.gle/3550.",26,15.15,1,val,real
"Nag-iipon ka pa rin sa bangko? Mag-invest ka na! ₱25,000 monthly returns guaranteed: cutt.ly/9640.",310,9.09,1,train,real
Kumita ng P1000 araw-araw by just liking YouTube videos. Message me on WhatsApp to start!,55,28.63,1,train,real
Random update: nakahanap ako ng tahimik na café. Small progress is still progress.,2834,2.12,0,train,real
I'm from Coins.ph verification team. We sent a code to this number for account #5300. Kindly provide it.,46,19.55,1,train,real
" Volcanic activity update: Mount Merapi shows ashfall, according to BPPTKG. Communities in Sleman, Magelang, Boyolali, Klaten urged to stay alert. https://pagasa.dost.gov.ph/8276",949,2.68,0,train,synthetic_hazard_fix
"Be your own boss! Join our reseller program — ₱2,000 weekly income, no inventory needed. PM me.",713,15.6,1,val,real
URGENT: Your UnionBank account is being accessed right now. Send us the OTP immediately to lock it down.,7,26.54,1,train,real
"Gadget sale! laptop — ₱50,000! Nationwide delivery. Order here: shorturl.at/9598. GCash/Maya accepted.",50,7.71,1,train,real
Nag-open ako ng separate account for travel savings. Hopefully enough na by next year.,1267,0.52,0,val,real
"Reminder: our system maintenance is ongoing, some services may be temporarily unavailable. We'll post updates here: https://abs-cbn.com/2886",2664,5.89,0,train,synthetic_bias_fix
"Earn ₱15,000 monthly as our brand ambassador! Just recruit 3 people to join. bit.ly/earn2193.",3,10.92,1,train,real
"Bro, pautang muna P10000 sa GCash, na limit kasi account ko. Bayaran ko din bukas promise.",14,13.53,1,train,real
Just opened a new bank account today. Remembering to save money for the future!,2695,0.67,0,train,real
Part-time job online! Earn up to P10000 weekly. Type HOW para maka-join sa Telegram group.,54,16.79,1,train,real
Ang init ng panahon ngayon! Gusto ko mag swimming ☀️🏖️,1873,2.03,0,val,real
"Thank you to everyone who joined our Livelihood Training last weekend, Sta. Rosa LGU Youth Council truly appreciates the support!
#Sta.RosaLGUYouthCouncil #LivelihoodTraining #CommunityFirst",1952,0.69,0,train,synthetic_hashtag_fix
The security deposit is refundable and will be returned with your loan. Kindly pay ₱150 to proceed. forms.gle/1007.,17,7.68,1,train,real
"NOTICE: Your ShopeePay cash-in limit has been reached. To increase your limit, verify your identity: shorturl.at/3418.",270,18.0,1,val,real
"Sis pasuyo naman, pa-receive ng P5000 sa Maya mo, may error kasi app ko ngayon.",35,12.96,1,train,real
"Earn ₱1,000 per day by liking products online! No experience needed. Start here: shorturl.at/7537.",254,16.51,1,train,real
"Madam/Sir, this is GCash customer care. Verify this number by replying with the OTP code sent.",4,5.99,1,val,real
"You are Invited!
Join us this Sunday for a worship-filled morning.
📌See you all at 𝗦𝘁𝗼. 𝗡𝗶ñ𝗼 𝗣𝗮𝗿𝗶𝘀𝗵, 𝗕𝗶ñ𝗮𝗻 at 9:30AM.
#NewHopeChristianChurchWorshipNight
#NewHopeChristianChurch",1513,1.65,0,test,synthetic_hashtag_fix
"Bro, patulong naman i-split yung bill kanina, ₱₱300 na lang kulang ko, GCash na lang para mabilis. Char lang.",227,7.58,0,train,synthetic_supplement
"Reminder from BDO: huwag i-share ang inyong OTP kahit kanino, kami mismo hindi humihingi nito. Take care everyone.",58,16.65,0,train,synthetic_supplement
"Libre ang puhunan, kita lang ang hanap! Join our investment community: forms.gle/9420. Members earning ₱50,000 per week.",30,19.64,1,train,real
Inviting everyone to our free medical mission tomorrow morning at Santa Rosa.,1688,1.79,0,train,real
"Finally, bumalik ako sa gym. Ang simple ng araw pero okay lang. Need ko talaga ng rest after that.",2283,0.7,0,train,real
Mother's Day is coming! Time to plan something special for mama.,49,1.95,0,train,real
"Low-interest personal loan available! ₱100,000 limit. 1% monthly interest, walang fine print. Apply: rebrand.ly/8634.",49,3.61,1,test,real
PHIVOLCS Volcano Bulletin: Mayon Volcano alert status raised to Alert Level 3 due to sulfur dioxide emission. Avoid entry into the extended danger zone. https://ndrrmc.gov.ph/1739,2042,2.82,0,test,synthetic_hazard_fix
Grand Opening Promo! Visit our new coffee shop at Villa Esmeralda and get 20% off on all drinks.,2246,0.65,0,train,real
"Aquino Bridge SECTION COLLAPSES

Situation this morning at the collapsed section of Aquino Bridge in Cebu City. The incident was reported last night during heavy rains brought by the southwest monsoon. | via @PhilstarNews https://inquirer.net/7705",522,12.7,0,train,synthetic_bias_fix
Don't miss the acoustic night this Friday! Live band starting at 8PM in Calamba.,2459,1.26,0,train,real
Happy 1st anniversary to our salon! Join us for free haircuts today at Calamba.,1957,1.02,0,train,real
Your loan release was delayed due to a system upgrade. Pay the re-processing fee of ₱750 to expedite. t.me/group6743.,2,5.85,1,test,real
"May bago nanaman na earning app! ₱50,000 sign up bonus. Withdraw agad sa GCash! t.me/group9054.",115,1.01,1,train,real
